Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Validates/whyBMOValidate,Success,4,0,2019-04-09 17:38:20 +0530,2019-05-15 17:29:45 +0530,0:00:02
Validates/LoanCalcValidate,Success,7,1,2019-04-09 17:37:19 +0530,2019-05-30 14:54:42 +0530,0:00:04
Master,Failure,14,14,2019-04-09 15:09:03 +0530,2019-05-15 10:03:54 +0530,0:00:00
FinancialPlanning/GettingMarried,Success,3,0,2019-05-15 14:18:26 +0530,2019-05-15 17:42:54 +0530,0:00:21
Validates/GettingMarriedValidate,Success,3,0,2019-05-15 14:18:54 +0530,2019-05-15 17:43:13 +0530,0:00:10
FinancialPlanning/CreatingYourPlan,Success,4,0,2019-04-09 17:26:28 +0530,2019-05-30 14:56:43 +0530,0:00:14
Loan/LoanCalculator,Success,7,2,2019-04-09 17:36:51 +0530,2019-05-30 14:54:32 +0530,0:01:02
Validates/CreatingPlanValidate,Success,4,0,2019-04-09 17:26:36 +0530,2019-05-30 14:56:55 +0530,0:00:11
Validates/BankingServicesValidate,Success,4,0,2019-04-24 12:26:53 +0530,2019-05-15 17:42:16 +0530,0:00:10
LaunchApp/NavigateToBMO,Success,36,1,2019-04-09 12:03:16 +0530,2019-05-30 15:00:59 +0530,0:00:07
BankAccounts/BankingServices,Success,4,0,2019-04-24 12:26:30 +0530,2019-05-15 17:41:57 +0530,0:00:25
Validates/annualReportValidate,Success,2,0,2019-04-09 17:36:14 +0530,2019-05-15 11:20:38 +0530,0:00:01
AboutBmo/AnnualReport,Success,2,0,2019-04-09 17:36:05 +0530,2019-05-15 11:20:14 +0530,0:00:12
Cleanup,Success,29,0,2019-04-09 17:24:27 +0530,2019-05-30 14:58:20 +0530,0:00:00
BankAccounts/BankingAgreements,Success,4,0,2019-04-09 17:24:10 +0530,2019-05-15 17:41:08 +0530,0:00:12
WaysToBank/OurChartbots,Success,4,0,2019-04-24 12:25:02 +0530,2019-05-30 14:58:05 +0530,0:00:08
AboutBmo/whyBMO,Success,4,0,2019-04-09 17:37:57 +0530,2019-05-15 17:29:25 +0530,0:00:46
Validates/BankingAgreementValidate,Success,4,2,2019-04-09 17:24:20 +0530,2019-05-15 17:41:17 +0530,0:00:04
Validates/ChatbotsValidate,Success,3,0,2019-05-15 11:21:21 +0530,2019-05-30 14:58:16 +0530,0:00:01
LandingPage/Loans,Success,7,0,2019-04-09 17:36:47 +0530,2019-05-30 14:54:12 +0530,0:00:06
LandingPage/WayToBank,Success,6,0,2019-04-09 17:27:18 +0530,2019-05-30 14:57:54 +0530,0:00:03
LandingPage/AboutBmo,Success,6,0,2019-04-09 17:36:02 +0530,2019-05-15 17:29:16 +0530,0:00:01
LandingPage/FinacialPlanning,Success,7,0,2019-04-09 17:26:24 +0530,2019-05-30 14:56:39 +0530,0:00:01
LandingPage/BankAccounts,Success,8,0,2019-04-09 17:24:06 +0530,2019-05-15 17:41:53 +0530,0:00:03
